Ecotone Unit: Level Logger
Serial Number: 00001130E9E2
Probe Number: 00001130E9E2
Log Read: 10/11/2011 11:52:07
 
____Date___ ,Time ,_Level_,Units
08/01/2011,20:00,-052.2,cm      
08/02/2011,08:00,-052.5,cm      
08/02/2011,20:00,-053.2,cm      
08/03/2011,08:00,-051.3,cm      
08/03/2011,20:00,-051.2,cm      
08/04/2011,08:00,-052.0,cm      
08/04/2011,20:00,-053.1,cm      
08/05/2011,08:00,-053.1,cm      
08/05/2011,20:00,-053.6,cm      
08/06/2011,08:00,-053.2,cm      
08/06/2011,20:00,-053.5,cm      
08/07/2011,08:00,-053.2,cm      
08/07/2011,20:00,-054.0,cm      
08/08/2011,08:00,-054.0,cm      
08/08/2011,20:00,-054.1,cm      
08/09/2011,08:00,-053.4,cm      
08/09/2011,20:00,-054.1,cm      
08/10/2011,08:00,-049.5,cm      
08/10/2011,20:00,-051.5,cm      
08/11/2011,08:00,-052.3,cm      
08/11/2011,20:00,-053.3,cm      
08/12/2011,08:00,-053.3,cm      
08/12/2011,20:00,-053.4,cm      
08/13/2011,08:00,-053.3,cm      
08/13/2011,20:00,-053.3,cm      
08/14/2011,08:00,-051.7,cm      
08/14/2011,20:00,-032.4,cm      
08/15/2011,08:00,-031.9,cm      
08/15/2011,20:00,-034.2,cm      
08/16/2011,08:00,-036.0,cm      
08/16/2011,20:00,-038.4,cm      
08/17/2011,08:00,-040.4,cm      
08/17/2011,20:00,-042.7,cm      
08/18/2011,08:00,-044.8,cm      
08/18/2011,20:00,-047.4,cm      
08/19/2011,08:00,-049.7,cm      
08/19/2011,20:00,-051.2,cm      
08/20/2011,08:00,-052.0,cm      
08/20/2011,20:00,-053.0,cm      
08/21/2011,08:00,-052.0,cm      
08/21/2011,20:00,-052.6,cm      
08/22/2011,08:00,-052.8,cm      
08/22/2011,20:00,-053.4,cm      
08/23/2011,08:00,-053.3,cm      
08/23/2011,20:00,-053.6,cm      
