Ecotone Unit: Level Logger
Serial Number: 000011312D0C
Probe Number: 000011312D0C
Log Read: 9/19/2008 10:24:54
 
____Date___ ,Time ,_Level_,Units
06/25/2008,19:28,-023.4,cm      
06/25/2008,20:28,-023.4,cm      
06/25/2008,21:28,-023.4,cm      
06/25/2008,22:28,-021.8,cm      
06/25/2008,23:28,-022.1,cm      
06/26/2008,00:28,-022.1,cm      
06/26/2008,01:28,-022.1,cm      
06/26/2008,02:28,-022.1,cm      
06/26/2008,03:28,-022.1,cm      
06/26/2008,04:28,-022.1,cm      
06/26/2008,05:28,-022.1,cm      
06/26/2008,06:28,-022.2,cm      
06/26/2008,07:28,-022.2,cm      
06/26/2008,08:28,-022.2,cm      
06/26/2008,09:28,-022.3,cm      
06/26/2008,10:28,-022.5,cm      
06/26/2008,11:28,-022.5,cm      
06/26/2008,12:28,-022.6,cm      
06/26/2008,13:28,-022.7,cm      
06/26/2008,14:28,-022.8,cm      
06/26/2008,15:28,-022.8,cm      
06/26/2008,16:28,-023.0,cm      
06/26/2008,17:28,-022.7,cm      
06/26/2008,18:28,-022.7,cm      
06/26/2008,19:28,-022.0,cm      
06/26/2008,20:28,-021.7,cm      
06/26/2008,21:28,-021.9,cm      
06/26/2008,22:28,-021.9,cm      
06/26/2008,23:28,-022.0,cm      
06/27/2008,00:28,-022.0,cm      
06/27/2008,01:28,-022.0,cm      
06/27/2008,02:28,-022.0,cm      
06/27/2008,03:28,-022.1,cm      
06/27/2008,04:28,-022.1,cm      
06/27/2008,05:28,-022.1,cm      
06/27/2008,06:28,-022.1,cm      
06/27/2008,07:28,-022.1,cm      
06/27/2008,08:28,-022.1,cm      
06/27/2008,09:28,-022.1,cm      
06/27/2008,10:28,-022.3,cm      
06/27/2008,11:28,-022.5,cm      
06/27/2008,12:28,-022.8,cm      
06/27/2008,13:28,-023.3,cm      
06/27/2008,14:28,-023.9,cm      
06/27/2008,15:28,-024.0,cm      
06/27/2008,16:28,-024.2,cm      
06/27/2008,17:28,-024.4,cm      
06/27/2008,18:28,-024.5,cm      
06/27/2008,19:28,-022.0,cm      
06/27/2008,20:28,-021.7,cm      
06/27/2008,21:28,-021.7,cm      
06/27/2008,22:28,-021.7,cm      
