Ecotone Unit: Level Logger
Serial Number: 00001130E0B9
Probe Number: 00001130E0B9
Log Read: 12/8/2009 10:30:36
 
____Date___ ,Time ,_Level_,Units
01/07/2009,20:00,-071.9,cm      
01/08/2009,08:00,-071.9,cm      
01/08/2009,20:00,-072.1,cm      
01/09/2009,08:00,-072.7,cm      
01/09/2009,20:00,-072.8,cm      
01/10/2009,08:00,-072.7,cm      
01/10/2009,20:00,-072.4,cm      
01/11/2009,08:00,-072.7,cm      
01/11/2009,20:00,-072.9,cm      
01/12/2009,08:00,-073.1,cm      
01/12/2009,20:00,-072.9,cm      
01/13/2009,08:00,-071.5,cm      
01/13/2009,20:00,-072.1,cm      
01/14/2009,08:00,-074.6,cm      
01/14/2009,20:00,-074.7,cm      
01/15/2009,08:00,-075.7,cm      
01/15/2009,20:00,-076.0,cm      
01/16/2009,08:00,-077.6,cm      
01/16/2009,20:00,-077.3,cm      
01/17/2009,08:00,-078.2,cm      
01/17/2009,20:00,-075.7,cm      
01/18/2009,08:00,-074.1,cm      
01/18/2009,20:00,-073.6,cm      
01/19/2009,08:00,-074.4,cm      
01/19/2009,20:00,-073.3,cm      
01/20/2009,08:00,-073.2,cm      
01/20/2009,20:00,-073.2,cm      
01/21/2009,08:00,-074.7,cm      
01/21/2009,20:00,-073.6,cm      
01/22/2009,08:00,-072.9,cm      
01/22/2009,20:00,-071.8,cm      
01/23/2009,08:00,-072.9,cm      
01/23/2009,20:00,-071.7,cm      
01/24/2009,08:00,-072.7,cm      
01/24/2009,20:00,-073.5,cm      
01/25/2009,08:00,-074.6,cm      
01/25/2009,20:00,-074.8,cm      
01/26/2009,08:00,-075.3,cm      
01/26/2009,20:00,-074.2,cm      
01/27/2009,08:00,-074.2,cm      
01/27/2009,20:00,-073.6,cm      
01/28/2009,08:00,-072.9,cm      
01/28/2009,20:00,-072.2,cm      
01/29/2009,08:00,-072.2,cm      
01/29/2009,20:00,-071.3,cm      
01/30/2009,08:00,-071.3,cm      
01/30/2009,20:00,-071.4,cm      
01/31/2009,08:00,-071.8,cm      
01/31/2009,20:00,-071.3,cm      
02/01/2009,08:00,-071.1,cm      
02/01/2009,20:00,-071.3,cm      
02/02/2009,08:00,-071.4,cm      
02/02/2009,20:00,-071.5,cm      
02/03/2009,08:00,-072.1,cm      
02/03/2009,20:00,-072.4,cm      
02/04/2009,08:00,-072.4,cm      
02/04/2009,20:00,-072.5,cm      
02/05/2009,08:00,-073.6,cm      
02/05/2009,20:00,-073.2,cm      
02/06/2009,08:00,-073.3,cm      
02/06/2009,20:00,-071.7,cm      
02/07/2009,08:00,-071.1,cm      
02/07/2009,20:00,-067.2,cm      
02/08/2009,08:00,-059.6,cm      
02/08/2009,20:00,-061.8,cm      
02/09/2009,08:00,-063.6,cm      
02/09/2009,20:00,-068.6,cm      
02/10/2009,08:00,-066.0,cm      
02/10/2009,20:00,-066.9,cm      
02/11/2009,08:00,-067.4,cm      
02/11/2009,20:00,-066.2,cm      
02/12/2009,08:00,-067.3,cm      
02/12/2009,20:00,-069.6,cm      
02/13/2009,08:00,-070.6,cm      
02/13/2009,20:00,-070.9,cm      
02/14/2009,08:00,-071.3,cm      
02/14/2009,20:00,-071.4,cm      
02/15/2009,08:00,-071.6,cm      
02/15/2009,20:00,-071.7,cm      
02/16/2009,08:00,-071.9,cm      
02/16/2009,20:00,-072.0,cm      
02/17/2009,08:00,-072.5,cm      
02/17/2009,20:00,-072.1,cm      
02/18/2009,08:00,-072.0,cm      
02/18/2009,20:00,-070.4,cm      
02/19/2009,08:00,-070.5,cm      
02/19/2009,20:00,-070.9,cm      
02/20/2009,08:00,-071.7,cm      
02/20/2009,20:00,-071.7,cm      
02/21/2009,08:00,-072.3,cm      
02/21/2009,20:00,-071.0,cm      
02/22/2009,08:00,-072.3,cm      
02/22/2009,20:00,-072.2,cm      
02/23/2009,08:00,-072.7,cm      
02/23/2009,20:00,-072.8,cm      
02/24/2009,08:00,-074.2,cm      
02/24/2009,20:00,-072.9,cm      
02/25/2009,08:00,-073.0,cm      
02/25/2009,20:00,-071.5,cm      
02/26/2009,08:00,-070.3,cm      
02/26/2009,20:00,-070.2,cm      
02/27/2009,08:00,-069.1,cm      
02/27/2009,20:00,-068.9,cm      
02/28/2009,08:00,-070.2,cm      
02/28/2009,20:00,-070.6,cm      
03/01/2009,08:00,-071.0,cm      
03/01/2009,20:00,-071.1,cm      
03/02/2009,08:00,-072.2,cm      
03/02/2009,20:00,-072.4,cm      
03/03/2009,08:00,-073.2,cm      
03/03/2009,20:00,-072.7,cm      
03/04/2009,08:00,-073.4,cm      
03/04/2009,20:00,-072.5,cm      
03/05/2009,08:00,-073.2,cm      
03/05/2009,20:00,-072.4,cm      
03/06/2009,08:00,-072.1,cm      
03/06/2009,20:00,-071.5,cm      
03/07/2009,08:00,-071.3,cm      
03/07/2009,20:00,-070.4,cm      
03/08/2009,08:00,-067.8,cm      
03/08/2009,20:00,-063.3,cm      
03/09/2009,08:00,-066.9,cm      
03/09/2009,20:00,-068.7,cm      
03/10/2009,08:00,-069.2,cm      
03/10/2009,20:00,-063.8,cm      
03/11/2009,08:00,-065.2,cm      
03/11/2009,20:00,-067.8,cm      
03/12/2009,08:00,-069.3,cm      
03/12/2009,20:00,-069.7,cm      
03/13/2009,08:00,-070.3,cm      
03/13/2009,20:00,-070.2,cm      
03/14/2009,08:00,-070.6,cm      
03/14/2009,20:00,-070.6,cm      
03/15/2009,08:00,-070.7,cm      
03/15/2009,20:00,-070.8,cm      
03/16/2009,08:00,-070.9,cm      
03/16/2009,20:00,-071.1,cm      
03/17/2009,08:00,-071.1,cm      
03/17/2009,20:00,-071.4,cm      
03/18/2009,08:00,-071.4,cm      
03/18/2009,20:00,-071.0,cm      
03/19/2009,08:00,-070.7,cm      
03/19/2009,20:00,-070.9,cm      
03/20/2009,08:00,-071.4,cm      
03/20/2009,20:00,-071.4,cm      
03/21/2009,08:00,-071.6,cm      
03/21/2009,20:00,-071.6,cm      
03/22/2009,08:00,-071.6,cm      
03/22/2009,20:00,-071.9,cm      
03/23/2009,08:00,-072.0,cm      
03/23/2009,20:00,-071.9,cm      
03/24/2009,08:00,-072.2,cm      
03/24/2009,20:00,-072.4,cm      
03/25/2009,08:00,-072.2,cm      
03/25/2009,20:00,-071.8,cm      
03/26/2009,08:00,-071.9,cm      
03/26/2009,20:00,-071.6,cm      
03/27/2009,08:00,-071.7,cm      
03/27/2009,20:00,-071.9,cm      
03/28/2009,08:00,-071.7,cm      
03/28/2009,20:00,-071.9,cm      
03/29/2009,08:00,-071.7,cm      
03/29/2009,20:00,-070.2,cm      
03/30/2009,08:00,-069.4,cm      
03/30/2009,20:00,-069.6,cm      
03/31/2009,08:00,-069.8,cm      
03/31/2009,20:00,-070.1,cm      
04/01/2009,08:00,-069.4,cm      
04/01/2009,20:00,-069.5,cm      
04/02/2009,08:00,-069.6,cm      
04/02/2009,20:00,-070.1,cm      
04/03/2009,08:00,-068.3,cm      
04/03/2009,20:00,-064.8,cm      
04/04/2009,08:00,-066.9,cm      
04/04/2009,20:00,-068.1,cm      
04/05/2009,08:00,-068.4,cm      
04/05/2009,20:00,-069.2,cm      
04/06/2009,08:00,-068.5,cm      
04/06/2009,20:00,-067.7,cm      
04/07/2009,08:00,-068.0,cm      
04/07/2009,20:00,-067.7,cm      
04/08/2009,08:00,-067.8,cm      
04/08/2009,20:00,-068.2,cm      
04/09/2009,08:00,-068.3,cm      
04/09/2009,20:00,-068.9,cm      
04/10/2009,08:00,-068.8,cm      
04/10/2009,20:00,-068.8,cm      
04/11/2009,08:00,-068.8,cm      
