Ecotone Unit: Level Logger
Serial Number: 00001130EEFF
Probe Number: 00001130EEFF
Log Read: 11/16/2011 16:02:28
 
____Date___ ,Time ,_Level_,Units
08/01/2011,12:00,-007.7,cm      
08/01/2011,13:00,-010.7,cm      
08/01/2011,14:00,-009.7,cm      
08/01/2011,15:00,-008.8,cm      
08/01/2011,16:00,-008.7,cm      
08/01/2011,17:00,-008.7,cm      
08/01/2011,18:00,-008.8,cm      
08/01/2011,19:00,-008.2,cm      
08/01/2011,20:00,-008.7,cm      
08/01/2011,21:00,-009.5,cm      
08/01/2011,22:00,-009.6,cm      
08/01/2011,23:00,-009.7,cm      
08/02/2011,00:00,-009.6,cm      
08/02/2011,01:00,-009.9,cm      
08/02/2011,02:00,-010.1,cm      
08/02/2011,03:00,-010.4,cm      
08/02/2011,04:00,-010.6,cm      
08/02/2011,05:00,-010.7,cm      
08/02/2011,06:00,-010.8,cm      
08/02/2011,07:00,-010.6,cm      
08/02/2011,08:00,-010.0,cm      
08/02/2011,09:00,-009.7,cm      
08/02/2011,10:00,-009.8,cm      
08/02/2011,11:00,-010.0,cm      
08/02/2011,12:00,-010.0,cm      
08/02/2011,13:00,-009.8,cm      
08/02/2011,14:00,-009.8,cm      
08/02/2011,15:00,-010.8,cm      
08/02/2011,16:00,-011.6,cm      
08/02/2011,17:00,-010.3,cm      
08/02/2011,18:00,-010.9,cm      
08/02/2011,19:00,-010.4,cm      
08/02/2011,20:00,-010.4,cm      
08/02/2011,21:00,-010.8,cm      
08/02/2011,22:00,-010.7,cm      
08/02/2011,23:00,-010.5,cm      
08/03/2011,00:00,-010.3,cm      
08/03/2011,01:00,-008.0,cm      
08/03/2011,02:00,-006.4,cm      
08/03/2011,03:00,-006.6,cm      
08/03/2011,04:00,-006.7,cm      
08/03/2011,05:00,-006.8,cm      
08/03/2011,06:00,-007.1,cm      
08/03/2011,07:00,-008.3,cm      
08/03/2011,08:00,-009.0,cm      
08/03/2011,09:00,-009.4,cm      
08/03/2011,10:00,-010.0,cm      
08/03/2011,11:00,-010.3,cm      
08/03/2011,12:00,-010.6,cm      
08/03/2011,13:00,-010.3,cm      
08/03/2011,14:00,-010.5,cm      
08/03/2011,15:00,-010.8,cm      
08/03/2011,16:00,-010.7,cm      
08/03/2011,17:00,-011.3,cm      
08/03/2011,18:00,-011.8,cm      
08/03/2011,19:00,-012.1,cm      
08/03/2011,20:00,-012.3,cm      
08/03/2011,21:00,-012.5,cm      
08/03/2011,22:00,-012.6,cm      
08/03/2011,23:00,-012.6,cm      
08/04/2011,00:00,-012.7,cm      
08/04/2011,01:00,-012.7,cm      
08/04/2011,02:00,-012.8,cm      
08/04/2011,03:00,-012.7,cm      
08/04/2011,04:00,-012.7,cm      
08/04/2011,05:00,-012.7,cm      
08/04/2011,06:00,-012.7,cm      
08/04/2011,07:00,-012.7,cm      
08/04/2011,08:00,-012.7,cm      
08/04/2011,09:00,-012.7,cm      
08/04/2011,10:00,-012.7,cm      
08/04/2011,11:00,-012.1,cm      
08/04/2011,12:00,-011.5,cm      
08/04/2011,13:00,-011.2,cm      
08/04/2011,14:00,-011.4,cm      
08/04/2011,15:00,-011.6,cm      
08/04/2011,16:00,-012.5,cm      
08/04/2011,17:00,-012.8,cm      
08/04/2011,18:00,-013.0,cm      
08/04/2011,19:00,-012.8,cm      
08/04/2011,20:00,-012.9,cm      
08/04/2011,21:00,-013.0,cm      
08/04/2011,22:00,-012.9,cm      
08/04/2011,23:00,-013.0,cm      
08/05/2011,00:00,-013.0,cm      
08/05/2011,01:00,-013.1,cm      
08/05/2011,02:00,-013.2,cm      
08/05/2011,03:00,-013.2,cm      
08/05/2011,04:00,-013.2,cm      
08/05/2011,05:00,-013.3,cm      
08/05/2011,06:00,-013.3,cm      
08/05/2011,07:00,-013.2,cm      
08/05/2011,08:00,-013.0,cm      
08/05/2011,09:00,-012.1,cm      
08/05/2011,10:00,-011.8,cm      
08/05/2011,11:00,-011.1,cm      
08/05/2011,12:00,-011.3,cm      
08/05/2011,13:00,-012.8,cm      
08/05/2011,14:00,-013.1,cm      
08/05/2011,15:00,-013.2,cm      
08/05/2011,16:00,-012.9,cm      
08/05/2011,17:00,-012.8,cm      
08/05/2011,18:00,-013.1,cm      
08/05/2011,19:00,-012.8,cm      
08/05/2011,20:00,-012.8,cm      
08/05/2011,21:00,-012.9,cm      
08/05/2011,22:00,-012.9,cm      
08/05/2011,23:00,-012.8,cm      
08/06/2011,00:00,-012.8,cm      
08/06/2011,01:00,-012.9,cm      
08/06/2011,02:00,-012.9,cm      
08/06/2011,03:00,-012.8,cm      
08/06/2011,04:00,-012.8,cm      
08/06/2011,05:00,-012.7,cm      
08/06/2011,06:00,-012.7,cm      
08/06/2011,07:00,-012.7,cm      
08/06/2011,08:00,-012.5,cm      
08/06/2011,09:00,-011.9,cm      
08/06/2011,10:00,-011.8,cm      
08/06/2011,11:00,-011.7,cm      
08/06/2011,12:00,-012.7,cm      
08/06/2011,13:00,-013.0,cm      
08/06/2011,14:00,-013.2,cm      
08/06/2011,15:00,-013.3,cm      
08/06/2011,16:00,-012.9,cm      
08/06/2011,17:00,-012.9,cm      
08/06/2011,18:00,-012.6,cm      
08/06/2011,19:00,-012.5,cm      
